ASIN,Manufacturer,Name,Price,Product_description,Product_url,Rating,Reviews
B0C3MG4MJG,"Swiss Military Consumer Goods Limited, W-39, Okhla Industrial Area, Delhi , Delhi - 110020, Swiss Military Consumer Goods Limited, W-39, Okhla Industrial Area, Delhi , Delhi - 110020","Swiss Military Hard Shell Travel Backpack UFO, Alien Series Dimond Cut ABS Hardshell upto 15.6 Inch Laptop","3,299",Swiss Military Hard Shell Travel Backpack,https://www.amazon.in/Swiss-Military-Travel-Backpack-Hardshell/dp/B0C3MG4MJG/ref=sr_1_100?crid=2M096C61O4MLT&keywords=bags&qid=1697642796&sprefix=ba%2Caps%2C283&sr=8-100,3.7 out of 5 stars,24
B0BS6QM2GD,SHABA BAGS,NORTH ZONE Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,542,"Care Instructions: Do not expose to extreme heat The Hype 1 Casual Backpack from Northzone Sport features an elegant look and feel. It is a perfect every day carry for speedy city commutes, college or school. Keeping it unique and stylish, this Northzone backpack features a versatile shaded design with the Northzone logo print on the face of the bag. Sturdy, spacious and elegant are the spirit of this backpack. Plenty of Space & Pockets: This college bags for girls and boys features two spacious compartments that can each fit book, iPad, A4 size files, lunch box, light clothes, school supplies & accessories. It also features a zip compartment with multiple organizer pockets for keys, pens, pencils, cell phone, power bank, etc. The twin mesh pockets on each side helps pack in a water bottle and a compact umbrella. Lightweight & Sturdy: This school bags for girls and boys features a multi ventilated 10mm robust mesh padding that provides maximum back support. The straps are breathable, padded and adjustable that helps to relieve the stress on your shoulder. The top of the backpack features a webbing loop top handle that helps in carrying the backpack with ease. External Dimension: Length – 33cm, Width – 21cm, Height – 49cm, Weight – 1,000 grams. Capacity – 34 litres. Laptop Compatibility – yes",https://www.amazon.in/NORTH-ZONE-Waterproof-Backpack-Dimensions/dp/B0BS6QM2GD/ref=sr_1_51?crid=2M096C61O4MLT&keywords=bags&qid=1697642796&sprefix=ba%2Caps%2C283&sr=8-51,4.0 out of 5 stars,779
B09413KB4K,Handcuffs,Handcuffs Baby Diaper Bag Multifunctional Maternity Bags New Mom Dad Travel Backpack For Baby Care Nursing (Black),"1,186",Handcuffs Baby Diaper Bag Multifunctional Maternity Bags New Mom Dad Travel Backpack For Baby Care Nursing ,https://www.amazon.in/Handcuffs-Multifunctional-Maternity-Backpack-Nursing/dp/B09413KB4K/ref=sr_1_97?crid=2M096C61O4MLT&keywords=bags&qid=1697642796&sprefix=ba%2Caps%2C283&sr=8-97,4.2 out of 5 stars,555
B083M1QK32,"Hindustan Foam, Hindustan Foam, 16m Golam Jilani Khan Road, Kolkata 700039, Contact : 9831172714",HAMMONDS FLYCATCHER Laptop Bag for Men - Genuine Leather Messenger Shoulder Bag - Fits 14/15.6/16 Inch Laptops - Brown Office Bag - Multiple Pockets -Water Resistant -Executive Bag for Work and Travel,"4,716","
                                                          ",https://www.amazon.in/HAMMONDS-FLYCATCHER-Laptop-Bag-Men/dp/B083M1QK32/ref=sr_1_96?crid=2M096C61O4MLT&keywords=bags&qid=1697642796&sprefix=ba%2Caps%2C283&sr=8-96,4.4 out of 5 stars,590
B0C2D2GPWJ,"‎Tabelito Trade India, ‎Tabelito Trade India, Tabelito Trade India, Prop No: 5, Ground Floor, Kh No:641, Village Rithala, Land Mark: Near Suzuki service center (Rithala), Contact : +919958166528","Tabelito® NEO 3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag, Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook.",349,"Decent BACKPACK: The Tabelito Backpack / Daypack is made of HIGH QUALITY Anti Scratch Fabric with a sturdy zipper design, making it incredibly sturdy, tear-resistant, and capable of protecting your items from dust, rain, and filth. Even more robust and long-lasting are the strong buckle and zipper. LARGE CAPACITY & MULTI COMPARTMENTS & LIGHT WEIGHT: The backpack has three compartments. There is ample storage for clothes, books, a lunchbox, daily needs, and tech equipment accessories in the separate laptop compartment that fits a 15.6-inch laptop as well as a 15-inch, 14-inch, and 13-inch or Mac book. The middle compartment has enough capacity for a laptop charger, an iPad, a tablet, a smartphone, a document file, and other necessary accessories. There are two small elastic mesh side pockets for water bottles and a front compartment with zipper pockets for easy access items like a mask, wallet, metro card, and wallet. Make your goods more accessible and organised. HIGH QUALITY MATERIAL: The metal zippers on our backpack are made of high-quality, water-resistant Polyester fabric. Lightweight and strong build guarantee daily use that is safe and durable. Perfect for shopping, office work, business travel, weekend trips, and other outdoor activities. It is also the ideal backpack for teens, boys, girls, adults, and other genders.",https://www.amazon.in/Tabelito-NEO-Backpack-Business-Compartment/dp/B0C2D2GPWJ/ref=sr_1_95?crid=2M096C61O4MLT&keywords=bags&qid=1697642796&sprefix=ba%2Caps%2C283&sr=8-95,3.8 out of 5 stars,295
B0BPVLXD53,"ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com",ADISA 32L large laptop backpack office bag college travel back pack with rain cover,563,"High Quality large and spacious laptop backpack with 2 compartments and 2 front easy-access pockets. One compartment is for carrying laptop inside with padding for safety and space for laptop accessories like charger, etc. Other compartment has organiser for pens, visiting cards, etc along with space for carrying papers, files, etc. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort. It comes with a full sized rain cover.",https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53/ref=sr_1_98?crid=2M096C61O4MLT&keywords=bags&qid=1697642796&sprefix=ba%2Caps%2C283&sr=8-98,3.8 out of 5 stars,436
,,Half Moon 34 L Water Resistant 15.6 inch Laptop Bag/Backpack for Men Women Boys Girls/Office School College with Padded Laptop Compartment (Grey),489,,https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B09T2TCSW7/ref=sr_1_90?crid=2M096C61O4MLT&keywords=bags&qid=1697642796&sprefix=ba%2Caps%2C283&sr=8-90,3.9 out of 5 stars,"1,416"
Rushi Enterprise,Boys,DZert 1 Day Hiking Backpack for Boys/Girl (10L),209,"DZert 10 L hiking backpack is ideal for hikers who want to hike a couple of hours and want to bring a picnic and a windbreaker. This is 100% brand new and high quality, Highly durable bagpack. Specially design for hiker. Simple back and straps without ventilation system. Also can be used as a small purse / Padded for Protection Cosmetics Case / Makeup Bag / Accessories Pouch / Travel Organizer. Compact, Lightweight, Fold-able Bag. Ideal for daily/sporty/Multi-purpose Use. Good looking Design . Best gift for friend! High quality, durable nylon.Backpack is ideal for occasional travel, hiking, outdoor tour, and day-to-day use. There might be slight color deviation due to different displays.",https://www.amazon.in/DZert-Hiking-Backpack-Boys-Red-Black/dp/B07NCJMM6Z/ref=sr_1_99?crid=2M096C61O4MLT&keywords=bags&qid=1697642796&sprefix=ba%2Caps%2C283&sr=8-99,3.3 out of 5 stars,596
,,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",799,,https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTC876Z/ref=sr_1_33?crid=2M096C61O4MLT&keywords=bags&qid=1697642796&sprefix=ba%2Caps%2C283&sr=8-33,4.1 out of 5 stars,"6,672"
B08GY2ZN96,"Gear, Gear Merchandise Pvt Ltd E/12 West Chowbaga Gulshan Colony Kolkata-700100",Gear Superior 16L Small Water Resistant School Bag//Casual Backpack/ Daypack/College Bag for Men/Women - Black,299,All Gear bag are manufactured from our self owned factories with specially trained manpower to ensure consistency in quality amd refined craftsmanship.,https://www.amazon.in/Gear-Superior-Casual-Backpack-BKPSPRIOR0001/dp/B08GY2ZN96/ref=sr_1_93?crid=2M096C61O4MLT&keywords=bags&qid=1697642796&sprefix=ba%2Caps%2C283&sr=8-93,3.9 out of 5 stars,385
